Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Model,Arrow Part Number,Arrow Price/Stock,Height,Manufacturer_Name,Manufacturer_Part_Number,Mouser Part Number,Mouser Price/Stock,automotive,category,contact material,current rating,device class L1,device class L2,device class L3,digikey description,digikey part number,footprint url,height,is connector,is female,is male,lead free,library id,manufacturer,mouser description,mouser part number,number of contacts,number of rows,package,pitch,rohs,standoff height,temperature range high,temperature range low,voltage rating,Channel Polarity,Ciss Typ pF,Component Link 1 Description,Component Link 1 URL,Component Link 3 Description,Component Link 3 URL,Configuration,Coss Typ pF,Crss Typ pF,Datasheet Version,Mounting Technology,PD Max W,Package Description,Package Type,Package Version,Packing,Qrr Typ nC,VBRDSS Min V,VGSth Max V,ciiva ids,imported,release date,vault revision,automotive grade,continuous drain current,depletion mode,drain to source breakdown voltage,drain to source resistance,drain to source voltage,gate charge at vgs,gate to source voltage,input capacitace at vds,max forward diode voltage,max junction temp,number of N channels,number of channels,power dissipation,pulse drain current,reverse recovery charge,reverse recovery time,rthja max,threshold vgs max,threshold vgs min,transconductance,turn off delay time,turn on delay time,typ forward diode voltage
1,Unpolarized capacitor,C,C36 C37,10pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,~,C0805C100J5GACTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Unpolarized capacitor,C,C14 C69 C70 C81 C82 C83,130pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,6,~,08055A131JAT2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Unpolarized capacitor,C,C25,330pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,C0805C331J5GACTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Unpolarized capacitor,C,C1 C43 C54 C64,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,~,C0805C102K4RACTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Unpolarized capacitor,C,C26,1.5nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,CC0805KRX7R9BB152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Unpolarized capacitor,C,C6 C42 C53 C63,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,~,C0805C103K1RAC7210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Unpolarized capacitor,C,C22,33nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,RC0805FR-07100KL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Unpolarized capacitor,C,C17 C18,47nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,~,CL21B473KCCWPNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Unpolarized capacitor,C,C24,68nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,~,CC0805KRX7R9BB683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Unpolarized capacitor,C,C9 C13 C15 C23 C28 C29 C30 C31 C32 C33 C34 C35 C40 C51 C61 C72 C73 C74 C75 C76 C77 C78 C79 C84 C85 C86 C87 C88 C89 C90 C91 C92 C96 C97,.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34,~,C0805C104M5RACTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Unpolarized capacitor,C,C16 C48 C71 C95,.22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,~,CC0805KRX7R8BB224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Unpolarized capacitor,C,C8 C10 C39 C41 C50 C52 C60 C62,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,8,~,CC0805KKX7R7BB105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
